Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
21.2,64.0,0.8,7.1,15.7,4.7,0.87,13.1,456.0
23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593.0
27.3,75.8,51.0,59.3,23.5,7.9,1.77,5.2,542.0
28.6,50.0,2.4,8.1,24.5,4.3,1.71,7.3,337.0
26.2,36.9,4.4,10.8,26.0,3.2,1.0,21.8,221.0
28.0,67.3,116.2,126.2,26.6,4.8,???,5.7,307.0
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297.0
32.9,63.2,13.1,24.0,23.1,4.1,1.32,11.1,522.0
28.9,69.2,9.7,20.5,29.3,6.5,1.29,5.0,552.0
26.6,70.9,5.9,18.2,26.9,11.7,1.5,5.3,573.0
